id,user_id,short_code,original_url,title,is_active,created_at,updated_at
1,1,TIjekh,https://relay.cloud/quiet/orbit/1,Incident notes river,True,2025-06-21 20:20:35,2026-01-17 06:23:24
2,106,2Aou6Q,https://relay.cloud/cobalt/zenith/2,Roadmap update zenith,True,2025-01-22 08:44:58,2025-09-08 15:11:31
3,330,WRvTlO,https://example.com/navy/window/3,Quarterly brief signal,True,2026-01-04 05:20:08,2026-01-26 12:40:38
4,194,noW3mf,https://acme.dev/amber/lagoon/4,Launch deck beacon,True,2025-09-19 10:24:58,2025-11-01 03:28:36
5,98,nCH19h,https://acme.dev/urban/valley/5,Ops review engine,True,2026-01-15 04:02:08,2026-02-15 18:27:33
6,165,TjY9YA,https://acme.dev/jade/orbit/6,Ops review window,True,2025-08-12 16:32:53,2026-01-14 16:40:48
7,288,hP4WQX,https://acme.dev/rapid/river/7,Alert feed beacon,True,2025-12-11 02:31:35,2025-12-24 08:14:24
8,397,5EkCSx,https://relay.cloud/tidy/anchor/8,Service guide signal,True,2025-03-30 12:50:58,2025-10-13 13:24:55
9,329,Z7VWMk,https://relay.cloud/young/window/9,Alert feed kernel,True,2025-09-16 05:34:41,2026-01-06 23:46:21
10,249,IlkcCV,https://acme.dev/ember/window/10,Alert feed beacon,False,2025-12-19 00:46:28,2026-01-11 15:08:23
11,193,7nAyG5,https://relay.cloud/lively/delta/11,Ops review canyon,True,2025-03-31 07:47:55,2025-10-28 12:16:23
12,70,PNlub9,https://hackstack.io/proud/delta/12,Alert feed window,False,2025-05-23 00:55:37,2025-11-03 17:10:47
13,233,CfYUPx,https://example.com/cobalt/meadow/13,Quarterly brief quartz,True,2025-06-18 16:59:18,2025-07-13 12:02:30
14,170,uhHUVY,https://example.com/clear/signal/14,Launch deck island,True,2025-07-05 07:53:58,2026-01-17 23:50:25
15,347,jKeGes,https://hackstack.io/harbor/window/15,Campaign page uplink,True,2025-10-14 09:08:47,2025-11-24 05:11:16
16,354,ID13lz,https://seeded.app/navy/island/16,Ops review network,True,2025-03-30 11:40:13,2025-06-09 00:47:11
17,40,gVoj0E,https://acme.dev/forest/journey/17,Quarterly brief lagoon,True,2025-08-19 20:11:42,2026-02-19 06:58:02
18,65,NYX5uz,https://relay.cloud/amber/harvest/18,Launch deck delta,True,2025-07-18 02:57:12,2025-12-28 14:16:09
19,386,mRGIXO,https://acme.dev/young/kernel/19,Service guide network,False,2025-03-11 19:21:25,2026-01-08 18:08:45
20,116,Etfc01,https://hackstack.io/rapid/engine/20,Launch deck kernel,True,2025-12-22 09:35:50,2026-02-05 19:51:24
21,310,Qiq5eJ,https://relay.cloud/urban/engine/21,Service guide window,True,2025-07-12 08:52:40,2025-07-26 20:22:21
22,231,pMm6M8,https://relay.cloud/forest/pioneer/22,Launch deck journey,True,2025-12-27 14:23:46,2026-01-31 09:56:08
23,111,R0wS2f,https://hackstack.io/vivid/yard/23,Launch deck signal,True,2025-06-29 11:04:44,2025-12-14 09:25:32
24,110,CmhoHy,https://acme.dev/mellow/orbit/24,Demo link journey,True,2026-01-22 07:12:55,2026-02-02 21:47:00
